iter	TotalF1	MultiClass
95	0.5957615773	0.8456993352
96	0.5959746883	0.8452082293
97	0.5967435833	0.8446003872
98	0.596291582	0.8442229576
99	0.597019733	0.8436899833
100	0.5973427495	0.8435011361
101	0.5978581328	0.8432725906
102	0.5980099215	0.8428798182
103	0.5979371115	0.8425150419
104	0.598458418	0.8416545211
105	0.5991565807	0.8413405205
106	0.5994246776	0.840771781
107	0.5992585687	0.8403795072
108	0.5995220488	0.8396447222
109	0.6001720917	0.839127482
110	0.6002490368	0.8383638739
111	0.6010023217	0.8377517863
112	0.6005430335	0.8371364549
113	0.601163832	0.8366663257
114	0.6006822657	0.8362628008
115	0.6020341378	0.8358278598
116	0.6017424592	0.8353958333
117	0.6019159274	0.8347958437
118	0.6016332307	0.8343507896
119	0.6025014862	0.8338188369
120	0.6021863984	0.8337271593
121	0.6016708466	0.8335141676
122	0.6020693061	0.8329470786
123	0.6019130797	0.8324038174
124	0.6028188326	0.8317551526
125	0.6034998442	0.8311166215
126	0.6036323517	0.8309198696
127	0.6040773583	0.8302698689
128	0.6044883031	0.8299137225
129	0.6043372165	0.8295423336
130	0.6050669829	0.8286367225
131	0.6045657282	0.8283364255
132	0.6049709251	0.8280312893
133	0.6049515817	0.8277711385
134	0.6055339334	0.8272139904
135	0.6061530372	0.826246966
136	0.6064248367	0.8256915994
137	0.6060622401	0.8251217802
138	0.6059397931	0.8249506056
139	0.6054759412	0.8245756939
140	0.6058595818	0.8242039969
141	0.607073617	0.8234170789
142	0.6076830472	0.8229484413
143	0.6079211723	0.8222729092
144	0.6085214476	0.8218495115
145	0.6105020028	0.8210273685
146	0.6101253832	0.820696959
147	0.6105359797	0.8204433407
148	0.6109552482	0.8200954937
149	0.6108929888	0.8197389893
150	0.6122036322	0.8189917043
151	0.6121720935	0.8185846164
152	0.6129526296	0.8181101947
153	0.613631545	0.8171895294
154	0.6141444994	0.8168524905
155	0.6143762942	0.8165147103
156	0.6144732163	0.8160764452
157	0.6152628007	0.8150554337
158	0.6152027389	0.8150279916
